,id,url,app-start,app-end,app-period
0,364,https://www.city.chiba.jp/kankyo/kankyohozen/hozen/ondanka/zeh_hojo.html,,,
1,398,https://www.city.chiba.jp/hokenfukushi/koreishogai/korei/harikyuu.html,,,
2,399,https://www.city.chiba.jp/hokenfukushi/kenkofukushi/chiikifukushi/saigaisyougai.html,,,
3,419,https://www.city.chiba.jp/hokenfukushi/koreishogai/kaigohokenkanri/shoninshakenshuu.html,,,2022年6月1日（水曜日）から2023年2月21日（火曜日）まで（郵送可・必着）
4,429,https://www.city.chiba.jp/hokenfukushi/iryoeisei/hoken/01koronasyoubyouteatekinn.html,,,
5,440,https://www.city.chiba.jp/toshi/kenchiku/shido/kawarayane_taihu.html,,,令和4年7月19日～先着順（12月28日まで） 今年度の受付は終了しました。
6,443,https://www.city.chiba.jp/toshi/kenchiku/jutakuseisaku/03_t-saisei.html,,,
7,448,https://www.city.chiba.jp/toshi/kenchiku/shido/jutaku_jokyaku.html,,,令和5年6月1日～6月30日
8,488,https://www.city.chiba.jp/hokenfukushi/koreishogai/korei/iwaikin26.html,,,
9,493,https://www.city.chiba.jp/hokenfukushi/koreishogai/korei/26keiroukai-koufushinsei.html,,,
10,495,https://www.city.chiba.jp/hokenfukushi/kenkofukushi/shien/fuikushoukensahijyosei.html,,,令和５年4月1日から 令和６年３月31日 令和６年３月３１日まで
11,504,https://www.city.chiba.jp/kankyo/kankyohozen/hozen/ondanka/renewable-energy-hojo.html,,,令和5年5月1日（月曜日）から令和6年1月31日（水曜日）まで
12,507,https://www.city.chiba.jp/toshi/kenchiku/jutakuseisaku/kekkonshinseikatsu.html,,,令和5年7月3日（月曜日）～令和6年3月29日（金曜日）
13,514,https://www.city.chiba.jp/hokenfukushi/hogo/gakusyuuseikatsusienn.html,,,
14,515,https://www.city.chiba.jp/hokenfukushi/hogo/ichijiseikatusien.html,,,
15,516,https://www.city.chiba.jp/hokenfukushi/iryoeisei/seisaku/kotuzuidonasien.html,,交付申請の期限は、ドナーとなった方が骨髄・末梢血幹細胞採取に伴う入院をして退院した日の翌日から1年以内です。,
16,520,https://www.city.chiba.jp/hokenfukushi/iryoeisei/hokenjo/kansensho/masinhuusin_hiyoujosei.html,,,
17,523,https://www.city.chiba.jp/hokenfukushi/kenkofukushi/shien/2013tokuteihuninn.html,,令和5年3月31日（金曜日）まで,
18,536,https://www.city.chiba.jp/kankyo/kankyohozen/hozen/ondanka/ev_hojo.html,,,令和5年5月1日（月曜日）から令和6年1月31日（水曜日）まで
19,548,https://www.city.chiba.jp/kankyo/kankyohozen/hozen/ondanka/shugo_ev_juden_hojo.html,,,令和5年5月1日（月曜日）から令和6年1月31日（水曜日）まで
20,550,https://www.city.chiba.jp/kankyo/kankyohozen/hozen/ondanka/tyusyo_hojokin.html,,,令和5年5月1日（月曜日）から令和6年1月19日（金曜日） まで
21,576,https://www.city.chiba.jp/shimin/seikatsubunka/bunka/geijyutubunkashinkohojyokin2.html,,,
22,584,https://www.city.chiba.jp/kankyo/junkan/sangyohaikibutsu/gomisyorikihojo.html,,,令和５年４月１７日（月曜日）から５月１９日（金曜日）まで。（土日を除く）
23,624,https://www.city.chiba.jp/kyoiku/gakkokyoiku/kyoikushien/tekiousidoujyoseikankei.html,,,
